state,year,max,mean
Mississippi,2022,298631.68359375,14.152862628300985
Missouri,2000,473455.6822916667,26.83992115656535
Missouri,2001,466253.8776041667,26.434778690338135
Missouri,2002,470631.3671875,32.36943769454956
Missouri,2003,475634.6666666667,32.713287353515625
Missouri,2004,481527.5963541667,28.674989541371662
Missouri,2005,487033.3854166667,32.52670176823934
Missouri,2006,477271.5911458333,31.88025363286336
Missouri,2007,484928.7864583333,32.38346449534098
Missouri,2008,469554.2734375,31.346065044403076
Missouri,2009,440394.4947916667,29.363150119781494
Missouri,2010,452195.1770833333,25.979515075683594
Missouri,2011,439705.7734375,25.267040570576984
Missouri,2012,426527.5338541667,24.524093468983967
Missouri,2013,436548.8489583333,25.102006276448567
Missouri,2014,440497.0442708333,25.338253021240234
Missouri,2015,431568.5,24.828813234965008
Missouri,2016,423058.2109375,24.34107557932536
Missouri,2017,417891.2630208333,24.04781977335612
Missouri,2018,431078.8385416667,24.798288822174072
Missouri,2019,423178.4635416667,24.35260518391927
Missouri,2020,381737.9427083333,21.982112248738606
Missouri,2021,408509.2161458333,23.520564874013264
Missouri,2022,413837.9765625,23.815479278564453
Nebraska,2000,317617.5833333333,24.509551525115967
Nebraska,2001,312786.265625,24.139671484629314
Nebraska,2002,315711.4166666667,29.61614195505778
Nebraska,2003,319067.7552083333,29.930735111236572
Nebraska,2004,323030.953125,24.275939146677654
Nebraska,2005,326749.0286458333,31.581017812093098
Nebraska,2006,320199.8984375,30.95358689626058
Nebraska,2007,325337.0494791667,31.44183588027954
Nebraska,2008,315022.2916666667,30.43416945139567
Nebraska,2009,295458.9505208333,28.507468700408936
Nebraska,2010,303372.3229166667,21.766080538431805
Nebraska,2011,294993.3567708333,21.1694122950236
Nebraska,2012,286152.2994791667,20.54766845703125
Nebraska,2013,292875.5,21.031963348388672
Nebraska,2014,295524.3385416667,21.230365753173828
Nebraska,2015,289534.2942708333,20.803725878397625
Nebraska,2016,283824.8515625,20.39515193303426
Nebraska,2017,280358.42578125,20.149635473887127
Nebraska,2018,289205.7760416667,20.77803087234497
Nebraska,2019,283905.5494791667,20.40504217147827
Nebraska,2020,256103.65104166666,18.41952125231425
Nebraska,2021,274064.1770833333,19.708484013875324
Nebraska,2022,277639.125,19.95500421524048
New Mexico,2000,358870.7760416667,26.33937708536784
New Mexico,2001,353411.9375,26.098466714223225
New Mexico,2002,356728.5494791667,33.69866689046224
