geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
MI,84315.88062253213,83735.24641861442,94479.12510487111,68959.19048821878,84135.56152401029,83158.11616158608,68755.58067431179,78243.1366783946,59901.843455091315,53529.62763049115,69088.73307852725,68233.62670272788,105415.59833950027,70161.94146247767,78540.89247322158,106590.75253062235,148865.98781401594,136230.78441488912,161362.21293172432,167833.14580074316,181448.78261542396,156697.40483725196,201622.24338447463
MN,19630.486187490427,19307.746547976625,20461.73702418189,23831.373292220804,19966.913862870915,27272.73972147569,25101.353972035322,29689.848167060758,22997.203561281895,19689.85044801436,25861.73540430418,21032.33651762595,37728.59304955632,34527.47655419711,24587.31489523509,37211.08240520163,44092.52721495535,34661.96174244709,43168.81252494351,55762.820716679096,55205.055223288226,60063.508530017185,43836.02009349369
MO,19278.093482100696,26508.280425703582,22205.301076538693,13798.195599509745,15848.624136335335,19627.498257224725,18771.25654530539,23272.976571543637,24157.96535793117,17598.97498385531,23382.810661075328,21525.19798542347,28565.568313940563,21290.243956490747,20546.923403055414,22380.45065141646,29743.116064790825,26638.520015692702,35565.28542068115,38236.14269968152,38189.07969145644,32167.977285810346,43530.53306888063
MS,76971.64773091968,121349.46530091944,89720.59729577966,65529.5202114196,80648.53925574975,86467.29049591713,80526.42121102994,103981.83894273094,92096.00840135355,99529.4722530466,127411.85096973096,131179.03581619353,156731.52449646185,127209.43198349596,129830.40393447841,181726.62246145378,201421.33844981584,186600.73534586938,200296.24808054132,197294.63864467913,213801.4813033085,192755.93362362953,206705.39902278106
MT,8837.04686193968,9002.034503092902,7944.3555946190045,7667.356064745927,8195.159999574633,7714.41492695851,8039.825950009022,8061.678693810285,7271.717558144088,8470.02565769519,7280.602919814576,10506.33407573891,10969.243412824815,12049.527039500928,10513.155122473634,12306.99343033637,11173.097695184664,10885.770406651829,10269.076681080905,10718.256658166865,9854.061903686339,11169.544768567845,11994.365770581811
NC,13078.719199062733,13658.120676681729,21689.802384089005,13500.149584443256,14967.894223325628,17595.11298236107,18228.299027503544,24677.54106953571,22073.946235458596,23888.970462149086,41785.64690022539,49850.942704775734,82141.89011381476,109437.19828968342,114693.66237204465,151069.39413990724,162872.29127374382,154746.80415761814,184852.18181832248,167113.03759747083,166977.60018950928,198961.03631514648,255207.5269987951
ND,625.4270281306852,503.3423066632559,535.6678563886991,660.9475205308572,653.2746805623434,616.6124597881374,727.0339154144452,772.9454761239618,655.8188258911603,739.634551115052,761.4612032961106,770.6136537450177,666.9860655505375,932.2828646514695,1790.6146808704223,4179.928291784801,6523.291849415507,4374.910170361948,5764.581525316483,8507.588875772894,8820.943052214368,8764.28419292135,7901.648327049106
NE,3617.5730030926607,2722.6055694071033,2891.0452162488973,2983.5289532990373,2108.4956826273287,4705.399362202061,4536.258845662467,6389.402696258995,4324.242570581147,2156.7240285263724,2575.473945442699,2767.1560087331704,4539.8399835516175,3132.248594353059,2976.7626423804777,2711.197546119394,3556.3320350171293,3735.4265536933426,5436.741581513757,7184.355715832597,6460.873757488987,7082.833133972916,7639.381457008522
NH,5830.706980726273,5964.786086686288,7865.6095254578595,34283.095048849056,38558.85482820985,37908.061222658296,28379.05614784349,27048.659688429372,30323.6894013176,24627.7205232951,24524.468213215285,28832.716038205275,30120.478504676958,19546.38758347252,21523.767121730278,27007.971837720976,20926.480108483673,16920.230344492047,14811.64840735984,15969.607185822382,16392.789501783656,19769.08625474981,22303.064767119322
NJ,88881.66661281446,85475.89643974569,95817.44992966685,84801.52810930328,90497.61495620468,81771.75340078259,82054.3195558116,97130.43030888321,102832.82368655929,99695.2229959042,118602.21360538225,118342.61756277856,133629.73193104498,129866.63350069203,148390.85058188296,166760.37282065913,189933.3233546964,161051.16429871347,166882.40407213863,169779.5211933722,132911.94414050961,130103.99245750975,146825.60116648866
