geo_ref,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
ND,56330.931974089675,59361.19055835261,58545.36312367305,60234.775360552965,60551.73905625277,60711.274562796905,58921.07988198396,60993.061229555155,61373.69497707722,60597.5909490051,69564.67574272257,80643.73810451831,89461.44891562121,91359.35311267518,96838.6689511383,87975.95551789137,77400.81674128199,81164.78792132101,85066.91156446672,88942.34003075934,78743.65160338627,84292.17875392076,83255.34992647998
NE,126974.78642928042,125342.70438235466,128590.31110632962,129723.97732215417,128818.17832663062,126369.02082946095,125912.76010727276,130204.94000880688,127503.01785283916,121026.4758249467,127316.62138458397,124927.82673068471,123246.0377425022,123733.86096019021,129382.47089404178,127709.4916205761,129873.2849204684,130022.61115672102,133762.417073055,133113.05054266067,124384.42276502433,133722.4272777019,131777.5536066773
NH,75181.33572718162,75100.2983945495,77670.24239106978,78520.68819366876,79177.10271589778,75902.107187827,73977.11581581885,75474.07193713776,72188.55660732582,71379.05691110867,72410.97774167244,70495.82087443386,69128.76730773825,68593.70723380754,70346.76877574658,68330.80302759222,67901.14662984748,68381.32468210731,69972.66348627173,69096.17860257466,60155.156308436264,66949.05877771381,67048.47708856652
NJ,600770.6607645169,579491.3635786807,579388.4100851314,571161.0289834137,588000.7273983582,613204.2707175576,620302.731857104,640491.2869170295,612521.3357516972,565656.3186034826,506053.0502433028,497968.46386363223,483545.2011691735,474277.9080058929,483723.605628433,472805.95466322114,499064.8442058308,474389.7352969056,477379.062329779,463250.3032658263,363801.7655861976,403680.8116344939,401711.6214636706
NM,163880.38536536327,164155.59347114788,163277.5323061589,161459.0162547261,164666.0679179025,160079.8858658144,163427.91889115048,159105.8050295885,147421.9810960258,144396.4282552342,141339.36446888006,146650.8449044686,146210.5660841976,142619.096521671,147928.08785684573,147478.64036640534,144874.95214348868,153439.08127569928,155679.52635682916,157613.2431388308,150832.46913263068,169014.34220096818,160097.6160777384
NV,146162.29634506244,146730.46770218923,150130.6868560997,156181.52178831425,163855.21132249237,173480.87676641002,178352.52594918557,178898.91797073025,161329.121120421,146663.65424302567,167491.31196309076,163236.30539534424,163258.6871452104,164462.6069614248,164927.343843536,166555.2772070182,173793.99583583578,181000.6181295654,180717.29860825033,181850.48735412283,153904.7705692207,176789.3319028935,181626.87053325668
NY,694161.3376948496,691176.9199125172,727698.2994782312,754345.945169626,771282.3910145706,768810.7015743507,764639.5515416941,763785.6071041793,748196.7300991049,719884.6806914794,793562.6062240156,758065.8207498549,743084.8946541563,735969.4837962675,766835.0922265794,749279.0879214702,781096.1558710972,793690.2787788922,773611.4638037732,781475.5484216773,613542.9229695767,690426.5214342262,725342.447034205
OH,721508.688457037,710830.0999725448,714803.7621246151,725375.5955861204,726292.4740029003,720422.5737805488,708458.5509895043,701510.8940945001,673252.9865315855,628218.9078359312,615774.739187095,603097.6606599744,589713.1827628305,586993.1011424605,609997.974236232,611679.304024866,611503.707881881,620157.0289574169,630201.9858689029,614903.7889123872,561804.4081486175,603666.760231421,589957.1880670965
OK,284575.0714033811,313082.5907583348,289140.22115194314,276880.9238880037,282603.2491336593,288883.7088741803,284321.00637140323,292149.29084560025,294499.958133195,274051.45538325154,284544.28085249744,275378.5325553378,286091.8901477516,289069.4743006419,307770.92811345647,296103.6786189151,300220.5919868245,307471.9826326389,314727.14333355305,306107.2766910226,279210.3718647629,298811.0208264494,295319.9119802841
OR,219777.1961669627,212763.5953137738,218811.99974710116,222472.72176240283,224569.3078585773,226836.6282418033,228572.2570878644,229891.77093839095,215645.3299087192,214045.9318733364,206248.74840324908,198901.91970570484,195021.52444414614,193853.95765970895,197501.5198997338,200735.12268151387,205540.36257655922,210090.82607185195,216745.47614943795,209587.78313328003,190308.6006797364,204101.49552800547,198206.46454722868
PA,718188.639995089,713992.9256557114,715808.731745988,719450.4579905929,720044.1168401573,727585.9549910902,715941.0294562838,710273.4689309379,681049.1531255419,663112.1751133711,667215.222345136,662967.377825591,643225.7961351419,637139.6803372375,646151.9828391807,627994.4789048515,621536.1681318973,630982.4545831613,624225.4593785353,629571.934707606,543147.842646382,591307.9444450368,584095.1475640497
